식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
마카롱_순우유 마카롱,빵 및 과자류,마카롱,100g,438,4.5,21.5,56,40g
마카롱_슈팅요거트 마카롱,빵 및 과자류,마카롱,100g,456,5.91,,,23.7
마카롱_슈팅캔디 마카롱,빵 및 과자류,마카롱,100g,365,5,,,26g
마카롱_스트로베리 마카롱,빵 및 과자류,마카롱,100g,457,10,,,30g
마카롱_스트로베리 치즈 마카롱,빵 및 과자류,마카롱,100g,433,6.67,,,30g
마카롱_신)딸기가나슈마카롱,빵 및 과자류,마카롱,100g,375,4.58,,,24g
마카롱_신)바닐라마카롱,빵 및 과자류,마카롱,100g,396,4.17,,,24g
마카롱_신)블루베리마카롱,빵 및 과자류,마카롱,100g,375,4.17,,,24g
마카롱_신)유자가나슈마카롱,빵 및 과자류,마카롱,100g,375,4.58,,,24g
마카롱_신)초코마카롱,빵 및 과자류,마카롱,100g,375,8.33,,,24g
마카롱_바닐라뚱카롱,빵 및 과자류,마카롱,100g,481,3.7,,,27g
마카롱_벌집 마카롱,빵 및 과자류,마카롱,100g,1273,13.33,,,45g
마카롱_벚꽃 마카롱 5종 세트,빵 및 과자류,마카롱,100g,456,6.87,,51.33,150g
마카롱_벨지안초콜릿 마카롱,빵 및 과자류,마카롱,100g,420,4,,,25g
마카롱_브라우니 마카롱,빵 및 과자류,마카롱,100g,980,12,,,50g
마카롱_블루베리 마카롱,빵 및 과자류,마카롱,100g,400,4,,,25g
마카롱_블루베리 마카롱,빵 및 과자류,마카롱,100g,440,8.57,,,35g
마카롱_블루베리 마카롱,빵 및 과자류,마카롱,100g,375,5,,,16g
마카롱_블루베리요거트 마카롱,빵 및 과자류,마카롱,100g,428,5.5,16.5,64,40g
마카롱_블루베리카시스마카롱,빵 및 과자류,마카롱,100g,361,5,,,18g
마카롱_블루베리크림치즈 뚱카롱,빵 및 과자류,마카롱,100g,416,8.57,,,35g
마카롱_블루하와이 마카롱,빵 및 과자류,마카롱,100g,451,4.85,,,16.5
마카롱_뽀또치즈 마카롱,빵 및 과자류,마카롱,100g,393,7.14,,,42g
마카롱_뽀또치즈 마카롱,빵 및 과자류,마카롱,100g,440,6.25,,,48g
마카롱_뽀또치즈 마카롱,빵 및 과자류,마카롱,100g,440,6.25,,,48g
마카롱_뽀또황치즈 마카롱,빵 및 과자류,마카롱,100g,1089,8.89,,,45g
마카롱_산딸기 마카롱,빵 및 과자류,마카롱,100g,400,4,,,25g
마카롱_산딸기 마카롱,빵 및 과자류,마카롱,100g,439,6.06,,,33g
피자_치즈후라이 피자 (L),빵 및 과자류,피자,100g,262,10.23,,,1180
마카롱_말차 뚱카롱,빵 및 과자류,마카롱,100g,466,7,,,100g
마카롱_말차초코 벤카롱,빵 및 과자류,마카롱,100g,400,5.71,,,35g
마카롱_망고 샌드 마카롱,빵 및 과자류,마카롱,100g,445,10,,,20g
마카롱_망고가나슈 마카롱,빵 및 과자류,마카롱,100g,404,6.67,,,24g
마카롱_망고프로피컬 마카롱,빵 및 과자류,마카롱,100g,400,4,,,25g
마카롱_메가초코 마카롱,빵 및 과자류,마카롱,100g,502,8,32,48,50g
마카롱_모카 마카롱,빵 및 과자류,마카롱,100g,456,8.82,,,34g
마카롱_민트초코 마카롱,빵 및 과자류,마카롱,100g,477,4.64,,,23.7
마카롱_바나나누텔라 마카롱,빵 및 과자류,마카롱,100g,440,4.17,,,48g
마카롱_바닐라 딜라이트 뚱카롱,빵 및 과자류,마카롱,100g,417,20,,,30g
마카롱_바닐라 뚱카롱,빵 및 과자류,마카롱,100g,434,7.71,,,35g
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,498,8,,,50g
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,470,10,,,30g
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,519,7.41,,,27g
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,445,6.06,,,16.5
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,396,4.17,25,45.83,24g
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,511,7.41,,,27g
마카롱_바닐라 마카롱,빵 및 과자류,마카롱,100g,496,4,,,25g
마카롱_바닐라 샌드 마카롱,빵 및 과자류,마카롱,100g,460,10,,,20g
마카롱_딸기우유뚱카롱,빵 및 과자류,마카롱,100g,393,3.57,,,28g
마카롱_딸기크림치즈 뚱카롱,빵 및 과자류,마카롱,100g,438,8.86,,,35g
마카롱_뚱카롱 말차초코,빵 및 과자류,마카롱,100g,456,4.17,,,48g
마카롱_뚱카롱 순우유,빵 및 과자류,마카롱,100g,440,4.17,,,48g
마카롱_뚱카롱 얼그레이,빵 및 과자류,마카롱,100g,440,4.17,,,48g
마카롱_뚱카롱 핑크팬더,빵 및 과자류,마카롱,100g,427,4.17,,,48g
마카롱_라즈베리 뚱카롱,빵 및 과자류,마카롱,100g,493,6,,,100g
마카롱_라즈베리 마카롱,빵 및 과자류,마카롱,100g,418,6.25,15,64.25,40g
마카롱_라즈베리뚱카롱,빵 및 과자류,마카롱,100g,389,3.7,,,27g
마카롱_레드벨벳 마카롱,빵 및 과자류,마카롱,100g,484,4.85,,,16.5
마카롱_레몬 마카롱,빵 및 과자류,마카롱,100g,496,4,,,25g
마카롱_레몬마카롱,빵 및 과자류,마카롱,100g,361,5,,,18g
마카롱_레인보우 마카롱 (5입),빵 및 과자류,마카롱,100g,449,8,,,100g
마카롱_로즈라즈베리 뚱카롱,빵 및 과자류,마카롱,100g,400,4,,,25g
마카롱_리얼블루베리 마카롱,빵 및 과자류,마카롱,100g,409,5.49,,,23.7
마카롱_리얼치즈 마카롱,빵 및 과자류,마카롱,100g,469,6.17,,,24.3
마카롱_마다가스카르바닐라 마카롱,빵 및 과자류,마카롱,100g,400,4,,,25g
마카롱_마약옥수수 뚱카롱,빵 및 과자류,마카롱,100g,502,7,,,100g
마카롱_마카롱,빵 및 과자류,마카롱,100g,413,7.5,,,40g
마카롱_더블 초코 뚱카롱,빵 및 과자류,마카롱,100g,450,6.67,,,30g
마카롱_더블치즈뚱카롱,빵 및 과자류,마카롱,100g,440,8,,,25g
마카롱_돼지바 데코 뚱카롱,빵 및 과자류,마카롱,100g,451,6.5,,,40g
마카롱_돼지바 뚱카롱,빵 및 과자류,마카롱,100g,498,5,,,100g
마카롱_돼지바 마카롱,빵 및 과자류,마카롱,100g,400,4.44,,,45g
마카롱_딸기 마카롱,빵 및 과자류,마카롱,100g,190,1.9,,,21g
마카롱_딸기 마카롱,빵 및 과자류,마카롱,100g,402,8,,,100g
마카롱_딸기 마카롱,빵 및 과자류,마카롱,100g,436,6.06,,,16.5
마카롱_딸기 마카롱,빵 및 과자류,마카롱,100g,541,7.81,,70.34,32g
마카롱_딸기 마카롱,빵 및 과자류,마카롱,100g,496,4,,,25g
마카롱_딸기 샌드 마카롱,빵 및 과자류,마카롱,100g,450,5,,,20g
마카롱_딸기 치즈케이크 뚱카롱,빵 및 과자류,마카롱,100g,617,6.67,,,30g
마카롱_딸기 치즈케익 뚱카롱,빵 및 과자류,마카롱,100g,617,6.67,,,30g
마카롱_딸기 퐁카롱,빵 및 과자류,마카롱,100g,330,6.67,,,30g
마카롱_딸기가나슈 마카롱,빵 및 과자류,마카롱,100g,375,4.17,20.83,45.83,24g
마카롱_딸기요거 벤카롱,빵 및 과자류,마카롱,100g,429,5.71,,,35g
마카롱_딸기요거트 뚱카롱,빵 및 과자류,마카롱,100g,439,1.4,,,100g
마카롱_딸기요거트 마카롱,빵 및 과자류,마카롱,100g,452,6,26,50,50g
마카롱_딸기우유 마카롱,빵 및 과자류,마카롱,100g,1183,15,,,40g
마라탕,찌개 및 전골류,마라탕,100g,66,3.91,3.27,5.1,100g
마라탕_간편조리세트_마라탕,찌개 및 전골류,마라탕,100g,88,4.64,5.15,5.72,873g
마카로니 샐러드,생채·무침류,마카로니 샐러드,100ml,138,2.4,7.98,13.76,170ml
마카로니 샐러드,생채·무침류,마카로니 샐러드,100ml,138,2.4,7.98,13.76,170ml
마카로니 샐러드,생채·무침류,마카로니 샐러드,100ml,100,4.1,5.56,8.13,220ml
마카로니 샐러드,생채·무침류,마카로니 샐러드,100ml,139,2.3,8.15,13.77,170ml
마카롱,빵 및 과자류,마카롱,100g,480,6.92,30.11,45.23,100g
마카롱_갤럭시 마카롱,빵 및 과자류,마카롱,100g,236,9.29,,,28g
마카롱_까망베르 치즈 마카롱,빵 및 과자류,마카롱,100g,354,8.33,,,24g
마카롱_녹차 마카롱,빵 및 과자류,마카롱,100g,490,5.45,,,16.5
마카롱_녹차 샌드 마카롱,빵 및 과자류,마카롱,100g,445,5,,,20g
마카롱_녹차마카롱,빵 및 과자류,마카롱,100g,417,5.56,,,18g
마카롱_녹차모찌 마카롱,빵 및 과자류,마카롱,100g,377,3.85,,,26g
마카롱_누텔라 뚱카롱,빵 및 과자류,마카롱,100g,528,6,,,100g
마카롱_다크 초콜릿 마카롱,빵 및 과자류,마카롱,100g,463,8.57,,,35g
마카롱_다크쇼콜라 뚱카롱,빵 및 과자류,마카롱,100g,426,8.57,,,35g
마카롱_다크초코가나슈 마카롱,빵 및 과자류,마카롱,100g,267,3.33,,,24g
마카롱_달고나 마카롱,빵 및 과자류,마카롱,100g,303,6.06,,,16.5
마늘쫑볶음_건새우,볶음류,마늘쫑볶음,100ml,53,2.67,2.56,5.31,150ml
마늘쫑볶음_건어물,볶음류,마늘쫑볶음,100ml,71,7.4,2.16,6.25,50ml
마늘쫑볶음_건어물,볶음류,마늘쫑볶음,100ml,73,7.4,2.16,6.25,50ml
마늘쫑볶음_건어물,볶음류,마늘쫑볶음,100ml,73,7.4,2.16,6.25,50ml
마늘쫑볶음_멸치,볶음류,마늘쫑볶음,100ml,64,7.9,1.56,4.65,50ml
마늘쫑볶음_멸치,볶음류,마늘쫑볶음,100g,117,7.54,2.78,15.42,50g
마늘쫑볶음_잔멸치,볶음류,마늘쫑볶음,100ml,61,3.5,3.16,5.85,70.5
마늘쫑볶음_잔멸치,볶음류,마늘쫑볶음,100ml,126,4.5,5.44,16.17,76.3
마늘쫑장아찌,장아찌·절임류,마늘쫑장아찌,100g,118,1.96,0.14,27.34,100g
마늘쫑장아찌_간장,장아찌·절임류,마늘쫑장아찌,100g,60,2,1,10.8,50g
마늘쫑장아찌_고추장,장아찌·절임류,마늘쫑장아찌,100g,110,2.6,1.8,21,50g
마늘쫑장아찌무침,생채·무침류,마늘쫑장아찌무침,100ml,79,1.3,0.58,17.7,50ml
마늘쫑장아찌무침,생채·무침류,마늘쫑장아찌무침,100ml,79,1.3,0.58,17.75,50ml
마늘쫑장아찌무침,생채·무침류,마늘쫑장아찌무침,100ml,79,1.3,0.58,17.7,50ml
마늘쫑장아찌무침,생채·무침류,마늘쫑장아찌무침,100ml,79,1.3,0.58,17.75,50ml
마늘쫑조림,조림류,마늘쫑조림,100ml,217,4.9,10.6,31.38,46.1
마늘쫑조림_멸치,조림류,마늘쫑조림,100ml,60,4.7,1.05,9.13,50ml
피자_치즈후라이크림치즈 피자 (L),빵 및 과자류,피자,100g,187,12.6,,,730g
마늘빵_마늘빵(5개입),빵 및 과자류,마늘빵,100g,352,6.67,,,105g
마늘빵_바삭마늘빵(5개입),빵 및 과자류,마늘빵,100g,488,7.5,,,40g
마늘빵_부드러운갈릭브레드,빵 및 과자류,마늘빵,100g,327,6,13.33,44,150g
마늘빵_프렌치마늘빵,빵 및 과자류,마늘빵,100g,357,4.76,11.9,52.38,21g
마늘빵_프렌치마늘빵 (5개입),빵 및 과자류,마늘빵,100g,352,6.67,11.43,52.38,105g
마늘장아찌,장아찌·절임류,마늘장아찌,100g,113,2.43,0.16,25.36,100g
마늘장아찌무침,생채·무침류,마늘장아찌무침,100ml,99,1.88,0.7,21.85,40ml
마늘쫑무침,생채·무침류,마늘쫑무침,100ml,67,1.63,1.14,14.55,80ml
마늘쫑무침,생채·무침류,마늘쫑무침,100g,106,2.73,4.93,12.77,30g
마늘쫑무침,생채·무침류,마늘쫑무침,100ml,76,2.5,1.21,17.92,40.6
마늘쫑무침,생채·무침류,마늘쫑무침,100ml,57,2.2,0.64,12.02,50ml
마늘쫑볶음,볶음류,마늘쫑볶음,100ml,52,1.3,2.92,5.83,70.5
마늘쫑볶음,볶음류,마늘쫑볶음,100g,89,3.25,2.54,13.17,140g
마늘쫑볶음_간장,볶음류,마늘쫑볶음,100ml,89,3,5.21,8.18,100ml
마늘쫑볶음_간장,볶음류,마늘쫑볶음,100ml,89,3,5.21,8.18,100ml
마늘쫑볶음_간장,볶음류,마늘쫑볶음,100ml,89,3,5.21,8.18,100ml
마늘쫑볶음_건새우,볶음류,마늘쫑볶음,100ml,64,3.16,2.97,6.55,60ml
마늘쫑볶음_건새우,볶음류,마늘쫑볶음,100ml,61,5.2,2.11,5.65,50ml
기타차_패션 프룻 히비스커스 (J),음료 및 차류,기타차,100g,22,0,,,651g
롤빵_망고 도쿄롤 (L),빵 및 과자류,롤빵,100g,293,5,,,100g
롤빵_망고 도쿄롤 (S),빵 및 과자류,롤빵,100g,293,5,,,100g
롤빵_목장의아침우유롤,빵 및 과자류,롤빵,100g,317,5.56,,,90g
롤빵_오리지널 도쿄롤 (L),빵 및 과자류,롤빵,100g,328,7,,,100g
롤빵_오리지널 도쿄롤 (S),빵 및 과자류,롤빵,100g,328,7,,,100g
롤빵_우유 생크림롤,빵 및 과자류,롤빵,100g,306,5.63,20,26.25,160g
롤빵_자색 고구마 도쿄롤 (L),빵 및 과자류,롤빵,100g,315,4,,,100g
롤빵_자색 고구마 도쿄롤 (S),빵 및 과자류,롤빵,100g,315,4,,,100g
롤빵_카멜크림롤,빵 및 과자류,롤빵,100g,402,4.35,,,92g
롤빵_클래식시나몬롤,빵 및 과자류,롤빵,100g,375,7.5,,,80g
롤빵_화이트 초코 도쿄롤 (L),빵 및 과자류,롤빵,100g,337,7,,,100g
롤빵_화이트 초코 도쿄롤 (S),빵 및 과자류,롤빵,100g,337,7,,,100g
리소토/리조또_간편조리세트_베이컨버섯크림리조또,밥류,리소토/리조또,100g,187,3.11,12.29,15.9,888g
리소토/리조또_간편조리세트_쉬림프로제리조또,밥류,리소토/리조또,100g,176,3.35,9.77,18.57,811g
리소토/리조또_베이컨크림리조또,밥류,리소토/리조또,100g,173,3.71,,,457g
리소토/리조또_스파이시 씨푸드 리조또,밥류,리소토/리조또,100g,148,5.81,,,241g
리소토/리조또_치킨 크림 리조또,밥류,리소토/리조또,100g,185,6.22,,,241g
마늘빵,빵 및 과자류,마늘빵,100g,438,12.06,17.58,57.94,50g
기타차_트로피컬망고 아이스(ICED),음료 및 차류,기타차,100g,43,0,,10.85,461g
레몬차_제로칼로리 레몬 블랙티 제로슈거 (초대용량),음료 및 차류,레몬차,100ml,2,0.05,,,850ml
레몬차_제로칼로리 레몬티 제로슈거 (Grande),음료 및 차류,레몬차,100ml,1,0.02,,,450ml
레몬차_제로칼로리 레몬티 제로슈거 (Venti),음료 및 차류,레몬차,100ml,4,0.02,,,650ml
레몬차_진저레몬티 아이스(ICED),음료 및 차류,레몬차,100g,43,0,,,360g
레몬차_진저레몬티 핫(HOT),음료 및 차류,레몬차,100g,43,0,,,360g
레몬차_허니레몬 아이스(ICED),음료 및 차류,레몬차,100g,56,0.21,,13.99,486g
레몬차_허니레몬 핫(HOT),음료 및 차류,레몬차,100g,64,0.23,,15.96,426g
레몬청차,음료 및 차류,레몬청차,100g,60,0.13,0.01,14.8,100g
레몬홍차_레몬 얼그레이 티 아이스(ICED),음료 및 차류,레몬홍차,100ml,25,6.34,,,473ml
레몬홍차_레몬 얼그레이 티 핫(HOT),음료 및 차류,레몬홍차,100ml,34,0.15,,,473ml
레몬홍차_레몬 얼그레이티 핫(HOT),음료 및 차류,레몬홍차,100g,34,0.15,,,473g
레몬홍차_레몬얼그레이티 아이스(ICED),음료 및 차류,레몬홍차,100ml,15,0.01,,,710ml
레몬홍차_레몬얼그레이티 핫(HOT),음료 및 차류,레몬홍차,100ml,23,0.01,,,473ml
롤빵_녹차 도쿄롤 (L),빵 및 과자류,롤빵,100g,330,6,,,100g
롤빵_녹차 도쿄롤 (S),빵 및 과자류,롤빵,100g,330,6,,,100g
롤빵_달달연유롤빵,빵 및 과자류,롤빵,100g,402,6.52,21.74,45.65,46g
롤빵_달달연유롤빵 (3개입),빵 및 과자류,롤빵,100g,399,6.52,21.01,45.65,138g
롤빵_달콤한크림치즈시나몬롤,빵 및 과자류,롤빵,100g,374,6.32,,,95g
레몬차_레몬티,음료 및 차류,레몬차,100ml,41,0,0,10.14,591ml
레몬차_레몬티,음료 및 차류,레몬차,100g,47,0.52,0.05,11,100g
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100g,44,0,,,510g
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100ml,26,0.05,0,6.56,650ml
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100g,28,0,,,360g
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100ml,39,0.14,,,710ml
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100g,55,0.48,,,415g
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100g,22,0.24,,5.61,410g
레몬차_레몬티 아이스(ICED),음료 및 차류,레몬차,100g,32,0,,,470g
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100g,30,0.32,,7.42,310g
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100g,54,0.52,,,385g
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100g,42,0,,,310g
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100g,28,0,,,360g
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100g,60,0,,,380g
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100ml,34,0.06,0,8.53,500ml
레몬차_레몬티 핫(HOT),음료 및 차류,레몬차,100ml,58,0,,,473ml
레몬차_블루레몬 티 핫(HOT),음료 및 차류,레몬차,100ml,31,0.09,,,473ml
레몬차_블루레몬티 아이스(ICED),음료 및 차류,레몬차,100g,52,0.07,,,591g
레몬차_블루레몬티 핫(HOT),음료 및 차류,레몬차,100g,31,0.08,,,473g
레몬차_레몬블루밍티 아이스(ICED) (Max),음료 및 차류,레몬차,100g,48,0.13,,,591g
레몬차_레몬블루밍티 아이스(ICED) (R),음료 및 차류,레몬차,100g,48,0,,,414g
레몬차_레몬블루밍티 핫(HOT) (L),음료 및 차류,레몬차,100g,51,0.16,,,473g
레몬차_레몬블루밍티 핫(HOT) (R),음료 및 차류,레몬차,100g,55,0,,,355g
레몬차_레몬차,음료 및 차류,레몬차,100g,49,0.1,0.01,,360g
레몬차_레몬차,음료 및 차류,레몬차,100g,53,0.09,,,414g
레몬차_레몬차,음료 및 차류,레몬차,100g,41,0.11,,,100g
레몬차_레몬차 (L),음료 및 차류,레몬차,100g,35,0.16,,,450g
레몬차_레몬차 (R),음료 및 차류,레몬차,100g,28,0.13,,,400g
레몬차_레몬차 아이스(ICED),음료 및 차류,레몬차,100ml,44,0.17,,,600ml
레몬차_레몬차 아이스(ICED),음료 및 차류,레몬차,100ml,46,0.04,0,11.49,710ml
레몬차_레몬차 아이스(ICED) (ML),음료 및 차류,레몬차,100g,36,0,,8.87,710g
레몬차_레몬차 아이스(ICED) (더벤티),음료 및 차류,레몬차,100ml,43,0.1,,,960ml
레몬차_레몬차 핫(HOT),음료 및 차류,레몬차,100ml,49,0.17,,,600ml
레몬차_레몬차 핫(HOT),음료 및 차류,레몬차,100ml,47,0.05,0.02,11.59,591ml
레몬차_레몬차 핫(HOT) (L),음료 및 차류,레몬차,100g,36,0.01,,,946g
레몬차_레몬차 핫(HOT) (M),음료 및 차류,레몬차,100g,42,0.02,,,591g
레몬차_레몬차 핫(HOT) (ML),음료 및 차류,레몬차,100g,43,0,,10.66,591g
레몬차_레몬티,음료 및 차류,레몬차,100ml,41,0.28,,,360ml
기타차_트로피칼 후르츠티 핫(HOT),음료 및 차류,기타차,100ml,14,0.02,,,473ml
라면_짬뽕라면,면 및 만두류,라면,100g,92,2.84,3.51,12.27,750g
라면_치즈,면 및 만두류,라면,100ml,95,2.7,3.56,12.66,700ml
라면_치즈,면 및 만두류,라면,100g,99,2.8,3.83,13.33,600g
라면_콩나물,면 및 만두류,라면,100ml,79,2.2,2.68,11.36,700ml
라볶이,볶음류,라볶이,100ml,113,2,3.39,18.5,475ml
라볶이,볶음류,라볶이,100g,134,2.83,4.71,20.14,200g
라볶이,볶음류,라볶이,100ml,108,1.9,3.16,17.85,476.3
라조기,튀김류,라조기,100ml,126,10,5.7,9.94,198ml
라조기,튀김류,라조기,100g,199,10.33,11.75,13.12,200g
라조기,튀김류,라조기,100ml,187,13.5,5.62,19.08,67.1
런천미트구이,구이류,런천미트구이,100ml,302,21.6,18.95,11.12,42.8
런천미트구이,구이류,런천미트구이,100ml,303,21.6,19.1,11.08,19.9
런천미트구이,구이류,런천미트구이,100g,303,17.56,24.38,3.27,160g
런천미트구이,구이류,런천미트구이,100ml,308,21.6,19.1,11.08,19.9
런천미트구이,구이류,런천미트구이,100ml,302,21.6,18.95,11.12,42.8
레몬차_레몬 스윗플럼 핫(HOT),음료 및 차류,레몬차,100g,55,0.14,,,414g
레몬차_레몬민트티,음료 및 차류,레몬차,100g,45,0.03,,,360g
레몬차_레몬블루밍티 아이스(ICED) (L),음료 및 차류,레몬차,100g,56,0,,,473g
기타차_트로피칼 후르츠티 아이스(ICED),음료 및 차류,기타차,100ml,11,0.01,,,710ml
라면_김치,면 및 만두류,라면,100ml,85,2.1,2.83,12.41,760ml
라면_달걀,면 및 만두류,라면,100ml,95,2.6,3.32,13.16,642ml
라면_달걀,면 및 만두류,라면,100ml,95,2.6,3.32,13.16,642ml
라면_달걀,면 및 만두류,라면,100g,108,2.61,3.18,17.33,550g
라면_떡,면 및 만두류,라면,100ml,109,2.6,3.11,17.07,690ml
라면_떡,면 및 만두류,라면,100g,96,2.04,2.92,15.27,550g
라면_떡,면 및 만두류,라면,100g,102,2.1,2.47,17.72,100g
라면_라면만,면 및 만두류,라면,100g,84,1.76,2.18,14.44,100g
라면_만두,면 및 만두류,라면,100ml,109,3.2,3.69,15.29,700ml
라면_면,면 및 만두류,라면,100g,174,3.89,4.37,29.79,100g
라면_모듬,면 및 만두류,라면,100ml,98,2.8,3.25,13.99,700ml
라면_비빔라면,면 및 만두류,라면,100g,189,3.38,5.67,31.01,100g
라면_어묵,면 및 만두류,라면,100ml,63,1.5,2.09,9.18,928.6
라면_용기면,면 및 만두류,라면,100g,103,1.98,3.63,15.65,100g
라면_용기면_국물,면 및 만두류,라면,100g,28,0.61,1.44,3.21,100g
라면_용기면_면,면 및 만두류,라면,100g,192,3.5,4.95,33.42,100g
라면_용기면_볶음라면,면 및 만두류,라면,100g,202,4.52,5.39,33.9,100g
라면_짜장라면,면 및 만두류,라면,100g,177,3.66,4.28,31,100g
기타차_캐모마일리치티 핫(HOT),음료 및 차류,기타차,100g,36,0.01,0,8.95,500g
라떼_흑임자크림 라떼 핫(HOT) (Mini Venti),음료 및 차류,라떼,100ml,52,1.05,,,570ml
라떼_흑임자크림 라떼 핫(HOT) (Tall),음료 및 차류,라떼,100ml,56,1.39,,,360ml
라떼_흑임자크림 라떼 핫(HOT) (Venti),음료 및 차류,라떼,100ml,50,0.97,,,720ml
라떼_흑호 라떼,음료 및 차류,라떼,100g,60,2.25,,,355g
라멘_간편조리세트_매운돈코츠라멘,면 및 만두류,라멘,100g,91,3.82,5.09,7.38,1669g
라멘_돈코츠라멘,면 및 만두류,라멘,100g,98,4.14,6.42,5.87,100g
라멘_미소라멘,면 및 만두류,라멘,100g,89,4.57,2.77,11.36,100g
라멘_소유라멘,면 및 만두류,라멘,100g,72,3.65,2.36,9.12,100g
라멘_시오라멘,면 및 만두류,라멘,100g,84,4.68,2.13,11.54,100g
라면,면 및 만두류,라면,100g,82,1.72,2.28,13.65,550g
라면,면 및 만두류,라면,100ml,169,4.1,5.77,24.49,226.6
라면,면 및 만두류,라면,100ml,79,1.5,2.52,12.19,590ml
라면,면 및 만두류,라면,100ml,79,1.5,2.52,12.19,590ml
라면,면 및 만두류,라면,100ml,169,4.1,5.77,24.49,226.6
라면_간편조리세트__양꿍요괴라면,면 및 만두류,라면,100g,88,2.41,2.77,13.49,1284g
라면_국물,면 및 만두류,라면,100g,19,0.44,0.96,2.08,100g
라면_김치,면 및 만두류,라면,100g,85,2.12,2.6,13.26,650g
피자_치킨 바베큐 (F),빵 및 과자류,피자,100g,228,11.79,,,1124
기타차_캐모마일리치티 아이스(ICED),음료 및 차류,기타차,100g,28,0,0,6.88,650g
라떼_흑임자 크림 라떼,음료 및 차류,라떼,100ml,177,2.03,,,489ml
라떼_흑임자 크림 밀크 아이스(ICED) (Grande),음료 및 차류,라떼,100ml,56,1.04,,,480ml
라떼_흑임자 크림 밀크 아이스(ICED) (Mini Venti),음료 및 차류,라떼,100ml,51,0.88,,,570ml
라떼_흑임자 크림 밀크 아이스(ICED) (Tall),음료 및 차류,라떼,100ml,49,0.83,,,360ml
라떼_흑임자 크림 밀크 아이스(ICED) (Venti),음료 및 차류,라떼,100ml,50,0.83,,,720ml
라떼_흑임자 크림 밀크 핫(HOT) (Grande),음료 및 차류,라떼,100ml,57,1.46,,,480ml
라떼_흑임자 크림 밀크 핫(HOT) (Mini Venti),음료 및 차류,라떼,100ml,51,1.23,,,570ml
라떼_흑임자 크림 밀크 핫(HOT) (Tall),음료 및 차류,라떼,100ml,57,1.67,,,360ml
라떼_흑임자 크림 밀크 핫(HOT) (Venti),음료 및 차류,라떼,100ml,47,0.97,,,720ml
라떼_흑임자 크림라떼 아이스(ICED) (EX),음료 및 차류,라떼,100ml,96,2.06,,,680ml
라떼_흑임자 크림라떼 아이스(ICED) (R),음료 및 차류,라떼,100ml,83,1.93,,,414ml
라떼_흑임자 크림라떼 핫(HOT) (EX),음료 및 차류,라떼,100ml,119,2.92,,,651ml
라떼_흑임자 크림라떼 핫(HOT) (R),음료 및 차류,라떼,100ml,105,2.6,,,384ml
라떼_흑임자크림 라떼 아이스(ICED) (Grande),음료 및 차류,라떼,100ml,53,0.63,,,480ml
라떼_흑임자크림 라떼 아이스(ICED) (Mini Venti),음료 및 차류,라떼,100ml,49,0.7,,,570ml
라떼_흑임자크림 라떼 아이스(ICED) (Tall),음료 및 차류,라떼,100ml,47,0.56,,,360ml
라떼_흑임자크림 라떼 아이스(ICED) (Venti),음료 및 차류,라떼,100ml,50,0.7,,,720ml
라떼_흑임자크림 라떼 핫(HOT) (Grande),음료 및 차류,라떼,100ml,58,1.25,,,480ml
라떼_흑당 버블 밀크티 라떼 아이스(ICED),음료 및 차류,라떼,100ml,56,1.29,1.13,10.14,591ml
라떼_흑당 펄 라떼 아이스(ICED) (L),음료 및 차류,라떼,100g,53,1.22,,,490g
라떼_흑당 펄 라떼 아이스(ICED) (R),음료 및 차류,라떼,100g,55,1.1,,,365g
라떼_흑당 펄 라떼 핫(HOT) (L),음료 및 차류,라떼,100g,83,2.25,,,400g
라떼_흑당 펄 라떼 핫(HOT) (R),음료 및 차류,라떼,100g,83,2.15,,,325g
라떼_흑당고구마 라떼,음료 및 차류,라떼,100g,65,1.37,,,100g
라떼_흑당버블 라떼,음료 및 차류,라떼,100g,67,1.31,,,100g
라떼_흑당버블 라떼 아이스(ICED),음료 및 차류,라떼,100ml,54,1.22,1.12,9.83,591ml
라떼_흑당버블 밀크티 라떼 아이스(ICED),음료 및 차류,라떼,100g,56,1.29,,,591g
라떼_흑당버블그린티 라떼 아이스(ICED),음료 및 차류,라떼,100g,70,1.24,,,591g
