식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
달걀말이_부추,전·적 및 부침류,달걀말이,100ml,102,6.7,6.93,2.3,50ml
달걀말이_부추,전·적 및 부침류,달걀말이,100ml,102,7,7.4,0.9,50ml
달걀말이_채소,전·적 및 부침류,달걀말이,100g,183,11.15,13.31,4.62,100g
달걀말이_채소,전·적 및 부침류,달걀말이,100ml,161,10.66,10.83,3.76,120ml
달걀말이_채소,전·적 및 부침류,달걀말이,100ml,181,11.53,12.41,4.35,50ml
달걀말이_채소,전·적 및 부침류,달걀말이,100ml,167,11.03,11.17,4.09,80ml
달걀말이_채소,전·적 및 부침류,달걀말이,100ml,95,6.4,6.92,0.94,50ml
단무지무침,생채·무침류,단무지무침,100ml,33,0.82,1.27,4.78,40ml
단무지무침,생채·무침류,단무지무침,100g,40,1,1.6,5.6,50g
단무지무침,생채·무침류,단무지무침,100ml,41,1.02,1.78,5.51,60ml
단무지무침,생채·무침류,단무지무침,100ml,34,0.9,1.67,3.97,30ml
단무지무침,생채·무침류,단무지무침,100ml,16,0.4,0.57,2.5,25ml
단호박 샐러드,생채·무침류,단호박 샐러드,100ml,125,1.2,9.28,10.27,50ml
단호박조림,조림류,단호박조림,100ml,99,3.1,1.29,21.41,65.4
단호박조림,조림류,단호박조림,100ml,71,2.2,0.94,15.18,100ml
단호박조림,조림류,단호박조림,100ml,71,2.2,0.94,15.15,100ml
단호박찜,찜류,단호박찜,100ml,41,0.93,0.16,10.04,90ml
달걀 샐러드,생채·무침류,달걀 샐러드,100ml,96,5,6.09,5.16,76.8
달걀 샐러드,생채·무침류,달걀 샐러드,100ml,165,6,13.17,5.49,159.5
달걀 샐러드,생채·무침류,달걀 샐러드,100ml,158,5.9,11.89,6.48,159.5
달걀_삶은것,수·조·어·육류,달걀,100g,150,12.8,10.65,0.63,100g
달걀_삶은것_노른자,수·조·어·육류,달걀,100g,358,15.66,32.31,1.17,100g
